loc_rowid,pl_hostname,pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_radj,pl_dens,ra_str,ra,dec_str,dec,st_dist,st_optmag,st_teff,st_mass,st_rad,pl_masse,pl_rade,pl_disc,st_sp,st_spstr,st_glon,st_glat,st_elon,st_elat
787,HIP 41378,HIP 41378 d,Transit,5,156.0,,,,,0.353,,08h26m27.85s,126.61604299999999,+10d04m49.4s,10.080378,106.61,8.93,6199.0,1.15,1.4,,3.96,2016,,,214.526438,25.646038,126.463448,-8.844942999999999
788,HIP 41378,HIP 41378 e,Transit,5,131.0,,,,,0.4920000000000001,,08h26m27.85s,126.61604299999999,+10d04m49.4s,10.080378,106.61,8.93,6199.0,1.15,1.4,,5.51,2016,,,214.526438,25.646038,126.463448,-8.844942999999999
789,HIP 41378,HIP 41378 f,Transit,5,324.0,,,,,0.91,,08h26m27.85s,126.61604299999999,+10d04m49.4s,10.080378,106.61,8.93,6199.0,1.15,1.4,,10.2,2016,,,214.526438,25.646038,126.463448,-8.844942999999999
790,HIP 5158,HIP 5158 b,Radial Velocity,2,345.72,0.89,0.52,,0.96,,,01h06m02.05s,16.508533,-22d27m11.4s,-22.453154,51.68,10.167,4813.0,0.43,0.75,,,2009,,,159.036135,-84.27111500000002,5.737127,-27.056888
791,HIP 5158,HIP 5158 c,Radial Velocity,2,9017.76,7.7,0.14,,15.04,,,01h06m02.05s,16.508533,-22d27m11.4s,-22.453154,51.68,10.167,4813.0,0.43,0.75,,,2011,,,159.036135,-84.27111500000002,5.737127,-27.056888
792,HIP 57274,HIP 57274 b,Radial Velocity,3,8.1352,0.07,0.19,,0.02,,,11h44m40.96s,176.17068500000005,+30d57m33.5s,30.959293,25.88,8.98,4510.0,0.29,0.78,,,2011,5.4,K4 V,194.246675,74.932183,163.27086699999998,26.692285
793,HIP 57274,HIP 57274 c,Radial Velocity,3,32.03,0.17800000000000002,0.05,,0.40902,,,11h44m40.96s,176.17068500000005,+30d57m33.5s,30.959293,25.88,8.98,4510.0,0.29,0.78,,,2011,5.4,K4 V,194.246675,74.932183,163.27086699999998,26.692285
794,HIP 57274,HIP 57274 d,Radial Velocity,3,431.7,1.01,0.27,,0.5267,,,11h44m40.96s,176.17068500000005,+30d57m33.5s,30.959293,25.88,8.98,4510.0,0.29,0.78,,,2011,5.4,K4 V,194.246675,74.932183,163.27086699999998,26.692285
795,HIP 63242,HIP 63242 b,Radial Velocity,1,124.6,0.565,0.23,,9.18,,,12h57m31.96s,194.383163,-65d38m47.3s,-65.646461,157.16,6.871,4830.0,1.54,,,,2013,4.8,G8,303.560962,-2.782088,228.805355,-52.664432999999995
796,HIP 65407,HIP 65407 b,Radial Velocity,2,28.125,0.177,0.14,,0.428,,,13h24m21.04s,201.08766200000002,+48d53m06.3s,48.885094,55.5,9.42,5460.0,0.93,,,,2016,5.0,K0,108.799004,67.330209,172.33111499999998,51.751638
797,HIP 65407,HIP 65407 c,Radial Velocity,2,67.3,0.316,0.12,,0.784,,,13h24m21.04s,201.08766200000002,+48d53m06.3s,48.885094,55.5,9.42,5460.0,0.93,,,,2016,5.0,K0,108.799004,67.330209,172.33111499999998,51.751638
798,HIP 65426,HIP 65426 b,Imaging,1,,92.0,,,9.0,1.5,,13h24m36.10s,201.150406,-51d30m16.1s,-51.504459000000004,111.4,6.982,8840.0,1.96,1.77,2860.47,16.814,2017,2.2,A2 V,308.178752,11.029184,221.708529,-38.956911
